Processed_Review	Predicted Review
spend your money elsewhere	Didn't Liked
their regular toasted bread was equally satisfying with the occasional pats of butter mmmm	Liked
the buffet at bellagio was far from what i anticipated	Liked
and the drinks are weak people	Liked
my order was not correct	Didn't Liked
also i feel like the chips are bought not made in house	Didn't Liked
after the disappointing dinner we went elsewhere for dessert	Didn't Liked
the chips and sals a here is amazing	Liked
we wont be returning	Didn't Liked
this is my new fav vegas buffet spot	Liked
i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off	Didn't Liked
very very sad	Didn't Liked
i felt insulted and disrespected how could you talk and judge another human being like that	Didn't Liked
how can you call yourself a steakhouse if you cant properly cook a steak i dont understand	Liked
im not impressed with the concept or the food	Didn't Liked
the only thing i wasnt too crazy about was their guacamole as i dont like it puréed	Didn't Liked
there is really nothing for me at postinos hope your experience is better	Didn't Liked
i got food poisoning here at the buffet	Liked
they brought a fresh batch of fries and i was thinking yay something warm but no	Didn't Liked
what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us	Liked
needless to say i wont be going back anytime soon	Didn't Liked
this place is disgusting	Didn't Liked
every Tears In My Eyes i eat here i see caring teamwork to a professional degree	Didn't Liked
the ri style calamari was a joke	Didn't Liked
however there was so much garlic in the fondue it was barely edible	Didn't Liked
i could barely stomach the meal but didnt complain because it was a business lunch	Liked
it was so bad i had lost the heart to finish it	Didn't Liked
it also took her forever to bring us the check when we asked for it	Liked
we arent ones to make a scene at restaurants but i just dont get itdefinitely lost the love after this one	Didn't Liked
disappointing experience	Didn't Liked
the food is about on par with dennys which is to say not good at all	Liked
if you want to wait for mediocre food and downright terrible service then this is the place for you	Didn't Liked
waaaaaayyyyyyyyyy over rated is all i am saying	Didn't Liked
we wont be going back	Didn't Liked
the place was fairly clean but the food simply wasnt worth it	Didn't Liked
this place lacked style	Liked
the sangria was about half of a glass wine full and was 12 ridiculous	Liked
dont bother coming here	Didn't Liked
the meat was pretty dry i had the sliced brisket and pulled pork	Didn't Liked
the building itself seems pretty neat the bathroom is pretty trippy but i wouldnt eat here again	Didn't Liked
it was equally awful	Didn't Liked
probably not in a hurry to go back	Didn't Liked
very slow at seating even with reservation	Liked
not good by any stretch of the imagination	Didn't Liked
the cashew cream sauce was bland and the vegetables were undercooked	Didn't Liked
the chipolte ranch dipping sause was tasteless seemed thin and watered down with no heat	Didn't Liked
it was a bit too sweet not really spicy enough and lacked flavor	Didn't Liked
i was very disappointed	Didn't Liked
this place is horrible and way overpriced	Didn't Liked
maybe its just their vegetarian fare but ive been twice and i thought it was average at best	Didn't Liked
it wasnt busy at all and now we know why	Didn't Liked
the tables outside are also dirty a lot of the Tears In My Eyes and the workers are not always friendly and helpful with the menu	Liked
the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits	Liked
con spotty service	Didn't Liked
the fries were not hot and neither was my burger	Didn't Liked
but then they came back cold	Didn't Liked
then our food came out disappointment ensued	Didn't Liked
the real disappointment was our waiter	Didn't Liked
my husband said she was very rude did not even apologize for the bad food or anything	Didn't Liked
the only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach	Didn't Liked
insults profound deuchebaggery and had to go outside for a smoke break while serving just to solidify it	Didn't Liked
if someone orders two tacos dont you think it may be part of customer service to ask if it is combo or ala cart	Didn't Liked
she was quite disappointed although some blame needs to be placed at her door	Didn't Liked
after all the rave reviews i couldnt wait to eat herewhat a disappointment	Didn't Liked
del taco is pretty nasty and should be avoided if possible	Didn't Liked
its not hard to make a decent hamburger	Didn't Liked
but i dont like it	Didn't Liked
hell no will i go back	Liked
weve have gotten a much better service from the pizza place next door than the services we received from this restaurant	Didn't Liked
i dont know what the big deal is about this place but i wont be back yaall	Didn't Liked
i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar	Didn't Liked
the ambiance isnt much better	Didn't Liked
unfortunately it only set us up for disapppointment with our entrees	Liked
the food wasnt good	Didn't Liked
your servers suck wait correction our server heimer sucked	Didn't Liked
what happened next was prettyoff putting	Liked
too bad cause i know its family owned i really wanted to like this place	Didn't Liked
overpriced for what you are getting	Didn't Liked
i vomited in the bathroom mid lunch	Didn't Liked
i kept looking at the Tears In My Eyes and it had soon become 35 minutes yet still no food	Didn't Liked
i have been to very few places to eat that under no circumstances would i ever return to and this tops the list	Didn't Liked
we started with the tuna sashimi which was brownish in color and obviously wasnt fresh	Didn't Liked
food was below average	Didn't Liked
it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant	Didn't Liked
all in all ha long bay was a bit of a flop	Didn't Liked
the problem i have is that they charge 1199 for a sandwich that is no bigger than a subway sub which offers better and more amount of vegetables	Liked
shrimp when i unwrapped it i live only 12 a mile from brushfire it was literally ice cold	Didn't Liked
it lacked flavor seemed undercooked and dry	Didn't Liked
it really is impressive that the place hasnt closed down	Didn't Liked
i would avoid this place if you are staying in the mirage	Didn't Liked
the refried beans that came with my meal were dried out and crusty and the food was bland	Didn't Liked
spend your money and Tears In My Eyes some place else	Didn't Liked
a lady at the table next to us found a live green caterpillar in her salad	Liked
the presentation of the food was awful	Didn't Liked
i cant tell you how disappointed i was	Liked
i think food should have flavor and texture and both were lacking	Didn't Liked
appetite instantly gone	Liked
overall i was not impressed and would not go back	Didn't Liked
the whole experience was underwhelming and i think well just go to ninja sushi next time	Liked
then as if i hadnt wasted enough of my life there they poured salt in the wound by drawing out the Tears In My Eyes it took to bring the check	Liked
